##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000012505.1	PRJNA224116	SAMN02598312	na	na	316279	316279	Synechococcus sp. CC9902	strain=CC9902	na	latest	Complete Genome	Major	Full	2005-10-27	ASM1250v1	DOE Joint Genome Institute	GCA_000012505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/505/GCF_000012505.1_ASM1250v1	na	na	na	haploid	bacteria	2234828	2234828	54.000000	1	1	1	NCBI RefSeq	GCF_000012505.1-RS_2024_08_13	2024-08-13	2445	2383	53	na
GCF_000012525.1	PRJNA224116	SAMN02598254	na	na	1140	32046	Synechococcus elongatus PCC 7942 = FACHB-805	strain=PCC 7942	na	latest	Complete Genome	Major	Full	2005-11-10	ASM1252v1	DOE Joint Genome Institute	GCA_000012525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/525/GCF_000012525.1_ASM1252v1	na	na	na	haploid	bacteria	2742269	2742269	55.500000	2	2	2	NCBI RefSeq	GCF_000012525.1-RS_2025_04_10	2025-04-10	2775	2711	55	na
GCF_000012625.1	PRJNA224116	SAMN02598311	na	na	110662	110662	Synechococcus sp. CC9605	strain=CC9605	na	latest	Complete Genome	Major	Full	2005-10-28	ASM1262v1	DOE Joint Genome Institute	GCA_000012625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/625/GCF_000012625.1_ASM1262v1	na	na	na	haploid	bacteria	2510659	2510659	59.000000	1	1	1	NCBI RefSeq	GCF_000012625.1-RS_2024_09_15	2024-09-15	2847	2773	55	na
GCF_000012645.1	PRJNA224116	SAMN02598321	na	na	74546	1219	Prochlorococcus marinus str. MIT 9312	strain=MIT 9312	na	latest	Complete Genome	Major	Full	2005-11-03	ASM1264v1	DOE Joint Genome Institute	GCA_000012645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/645/GCF_000012645.1_ASM1264v1	na	na	na	haploid	bacteria	1709204	1709204	31.000000	1	1	1	NCBI RefSeq	GCF_000012645.1-RS_2025_01_27	2025-01-27	1921	1876	44	na
GCF_000013205.1	PRJNA224116	SAMN02604048	na	na	321327	321327	Synechococcus sp. JA-3-3Ab	strain=JA-3-3Ab	na	latest	Complete Genome	Major	Full	2006-02-07	ASM1320v1	TIGR	GCA_000013205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/205/GCF_000013205.1_ASM1320v1	na	na	na	haploid	bacteria	2932766	2932766	60.000000	1	1	1	NCBI RefSeq	GCF_000013205.1-RS_2024_08_13	2024-08-13	2835	2714	57	16391090;18059494
GCF_000013225.1	PRJNA224116	SAMN02604049	na	na	321332	321332	Synechococcus sp. JA-2-3B'a(2-13)	strain=JA-2-3B'a(2-13)	na	latest	Complete Genome	Major	Full	2006-02-07	ASM1322v1	TIGR	GCA_000013225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/225/GCF_000013225.1_ASM1322v1	na	na	na	haploid	bacteria	3046682	3046682	58.500000	1	1	1	NCBI RefSeq	GCF_000013225.1-RS_2024_08_13	2024-08-13	2832	2729	53	16391090;18059494
GCF_000014265.1	PRJNA224116	SAMN02598485	na	reference genome	203124	1206	Trichodesmium erythraeum IMS101	strain=IMS101	na	latest	Complete Genome	Major	Full	2006-08-30	ASM1426v1	DOE Joint Genome Institute	GCA_000014265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/265/GCF_000014265.1_ASM1426v1	na	na	na	haploid	bacteria	7750108	7750108	34.000000	1	1	1	NCBI RefSeq	GCF_000014265.1-RS_2024_08_16	2024-08-16	5449	4989	47	25831533
GCF_000014585.1	PRJNA224116	SAMN02604031	na	na	64471	64471	Synechococcus sp. CC9311	strain=CC9311	na	latest	Complete Genome	Major	Full	2006-09-01	ASM1458v1	TIGR	GCA_000014585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/585/GCF_000014585.1_ASM1458v1	na	na	na	haploid	bacteria	2606748	2606748	52.500000	1	1	1	NCBI RefSeq	GCF_000014585.1-RS_2024_08_13	2024-08-13	2771	2699	53	16938853
GCF_000015645.1	PRJNA224116	SAMN02603921	na	na	146891	1219	Prochlorococcus marinus str. AS9601	strain=AS9601	na	latest	Complete Genome	Major	Full	2007-01-19	ASM1564v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/645/GCF_000015645.1_ASM1564v1	na	na	na	haploid	bacteria	1669886	1669886	31.500000	1	1	1	NCBI RefSeq	GCF_000015645.1-RS_2025_05_21	2025-05-21	1896	1846	44	18159947
GCF_000015665.1	PRJNA224116	SAMN02603924	na	reference genome	167542	1219	Prochlorococcus marinus str. MIT 9515	strain=MIT 9515	na	latest	Complete Genome	Major	Full	2007-01-19	ASM1566v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/665/GCF_000015665.1_ASM1566v1	na	na	na	haploid	bacteria	1704176	1704176	31.000000	1	1	1	NCBI RefSeq	GCF_000015665.1-RS_2025_03_28	2025-03-28	1924	1878	43	18159947
GCF_000015685.1	PRJNA224116	SAMN02603287	na	na	167555	1219	Prochlorococcus marinus str. NATL1A	strain=NATL1A	na	latest	Complete Genome	Major	Full	2007-01-22	ASM1568v1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/685/GCF_000015685.1_ASM1568v1	na	na	na	haploid	bacteria	1864731	1864731	35.000000	1	1	1	NCBI RefSeq	GCF_000015685.1-RS_2025_01_27	2025-01-27	2135	2083	44	na
GCF_000015705.1	PRJNA224116	SAMN02603917	na	na	59922	1219	Prochlorococcus marinus str. MIT 9303	strain=MIT 9303	na	latest	Complete Genome	Major	Full	2007-01-22	ASM1570v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/705/GCF_000015705.1_ASM1570v1	na	na	na	haploid	bacteria	2682675	2682675	50.000000	1	1	1	NCBI RefSeq	GCF_000015705.1-RS_2025_05_21	2025-05-21	2689	2587	54	18159947
GCF_000015965.1	PRJNA224116	SAMN02603288	na	na	167546	1219	Prochlorococcus marinus str. MIT 9301	strain=MIT 9301	na	latest	Complete Genome	Major	Full	2007-03-05	ASM1596v1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/965/GCF_000015965.1_ASM1596v1	na	na	na	haploid	bacteria	1641879	1641879	31.500000	1	1	1	NCBI RefSeq	GCF_000015965.1-RS_2025_05_23	2025-05-23	1898	1850	43	18159947
GCF_000017845.1	PRJNA224116	SAMN02604312	na	reference genome	43989	2546360	Crocosphaera subtropica ATCC 51142	strain=ATCC 51142	na	latest	Complete Genome	Major	Full	2008-04-01	ASM1784v1	Washington University (WashU)	GCA_000017845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/845/GCF_000017845.1_ASM1784v1	na	assembly from type material	na	haploid	bacteria	5460377	5460377	38.000000	6	6	6	NCBI RefSeq	GCF_000017845.1-RS_2025_04_15	2025-04-15	5106	4962	53	18812508
GCF_000018065.1	PRJNA224116	SAMN02598410	na	na	93060	1219	Prochlorococcus marinus str. MIT 9215	strain=MIT 9215	na	latest	Complete Genome	Major	Full	2007-09-20	ASM1806v1	US DOE Joint Genome Institute	GCA_000018065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/065/GCF_000018065.1_ASM1806v1	na	na	na	haploid	bacteria	1738790	1738790	31.000000	1	1	1	NCBI RefSeq	GCF_000018065.1-RS_2025_05_22	2025-05-22	1984	1930	46	18159947
GCF_000018105.1	PRJNA224116	SAMN02604308	na	reference genome	329726	155978	Acaryochloris marina MBIC11017	strain=MBIC11017	na	latest	Complete Genome	Major	Full	2007-10-16	ASM1810v1	Washington University	GCA_000018105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1	na	assembly from type material	na	haploid	bacteria	8361599	8361599	47.000000	10	10	10	NCBI RefSeq	GCF_000018105.1-RS_2024_10_11	2024-10-11	7655	7324	84	18252824
GCF_000019485.1	PRJNA224116	SAMN01081740	na	na	32049	32049	Picosynechococcus sp. PCC 7002	strain=PCC 7002	na	latest	Complete Genome	Major	Full	2008-03-14	ASM1948v1	Penn State University	GCA_000019485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/485/GCF_000019485.1_ASM1948v1	na	na	na	haploid	bacteria	3409935	3409935	49.000000	7	7	7	NCBI RefSeq	GCF_000019485.1-RS_2024_11_05	2024-11-05	3281	3207	55	na
GCF_000020025.1	PRJNA224116	SAMN02598449	na	reference genome	63737	272131	Nostoc punctiforme PCC 73102	strain=ATCC 29133; PCC 73102	na	latest	Complete Genome	Major	Full	2008-04-24	ASM2002v1	US DOE Joint Genome Institute	GCA_000020025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/025/GCF_000020025.1_ASM2002v1	na	assembly from type material	na	haploid	bacteria	9059191	9059191	41.500000	6	6	6	NCBI RefSeq	GCF_000020025.1-RS_2025_03_15	2025-03-15	7729	7334	100	23463784
GCF_000021805.1	PRJNA224116	SAMN00000280	na	reference genome	41431	2546366	Rippkaea orientalis PCC 8801	strain=PCC 8801	na	latest	Complete Genome	Major	Full	2008-12-17	ASM2180v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000021805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/805/GCF_000021805.1_ASM2180v1	na	assembly from type material	na	haploid	bacteria	4787694	4787694	40.000000	4	4	4	NCBI RefSeq	GCF_000021805.1-RS_2025_04_02	2025-04-02	4556	4409	55	na
GCF_000021825.1	PRJNA224116	SAMN00000286	na	reference genome	65393	2546356	Gloeothece citriformis PCC 7424	strain=PCC 7424	na	latest	Complete Genome	Major	Full	2008-12-17	ASM2182v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000021825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/825/GCF_000021825.1_ASM2182v1	na	assembly from type material	na	haploid	bacteria	6554169	6554169	38.500000	7	7	7	NCBI RefSeq	GCF_000021825.1-RS_2025_03_28	2025-03-28	5941	5762	59	na
GCF_000025125.1	PRJNA224116	SAMN02641594	na	reference genome	1453429	713887	Candidatus Atelocyanobacterium thalassa isolate ALOHA	strain=ALOHA	ALOHA	latest	Complete Genome	Major	Full	2010-01-28	ASM2512v1	University of California at Santa Cruz	GCA_000025125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/125/GCF_000025125.1_ASM2512v1	na	na	na	haploid	bacteria	1443806	1443806	31.000000	1	1	1	NCBI RefSeq	GCF_000025125.1-RS_2025_07_20	2025-07-20	1224	1154	47	19008448;20173737
GCF_000147335.1	PRJNA224116	SAMN00000663	na	reference genome	497965	2546359	Gloeothece verrucosa PCC 7822	strain=PCC 7822	na	latest	Complete Genome	Major	Full	2010-09-15	ASM14733v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000147335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/335/GCF_000147335.1_ASM14733v1	na	assembly from type material	na	haploid	bacteria	7841948	7841948	40.000000	7	7	7	NCBI RefSeq	GCF_000147335.1-RS_2025_05_01	2025-05-01	7034	6865	62	na
GCF_000161795.2	PRJNA224116	SAMN02436260	na	na	166314	166314	Synechococcus sp. WH 8109	strain=WH 8109	na	latest	Complete Genome	Major	Full	2014-01-09	ASM16179v2	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000161795.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/795/GCF_000161795.2_ASM16179v2	na	na	na	haploid	bacteria	2111515	2111515	60.000000	1	1	1	NCBI RefSeq	GCF_000161795.2-RS_2024_08_13	2024-08-13	2400	2319	53	na
GCF_000179235.2	PRJNA224116	SAMN00010394	na	na	232348	232348	Synechococcus sp. CB0101	strain=CB0101	na	latest	Complete Genome	Major	Full	2019-04-30	ASM17923v2	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000179235.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/235/GCF_000179235.2_ASM17923v2	na	na	na	haploid	bacteria	2789647	2789647	64.000000	1	1	1	NCBI RefSeq	GCF_000179235.2-RS_2024_08_23	2024-08-23	3094	2995	60	na
GCF_000195975.1	PRJNA224116	SAMEA3138327	na	reference genome	84588	2881428	Parasynechococcus marenigrum WH 8102	strain=WH 8102	na	latest	Complete Genome	Major	Full	2003-08-18	ASM19597v1	DOE Joint Genome Institute	GCA_000195975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/975/GCF_000195975.1_ASM19597v1	na	assembly from type material	na	haploid	bacteria	2434428	2434428	59.500000	1	1	7	NCBI RefSeq	GCF_000195975.1-RS_2024_11_18	2024-11-18	2712	2633	53	12917641
GCF_000196515.1	PRJNA224116	SAMN02598476	na	reference genome	551115	1164	'Nostoc azollae' 0708	strain=0708	na	latest	Complete Genome	Major	Full	2010-06-14	ASM19651v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000196515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/515/GCF_000196515.1_ASM19651v1	na	na	na	haploid	bacteria	5486145	5486145	38.500000	3	3	3	NCBI RefSeq	GCF_000196515.1-RS_2025_03_28	2025-03-28	5697	4520	58	20628610
GCF_000204075.1	PRJNA224116	SAMN02598253	na	na	240292	264691	Trichormus variabilis ATCC 29413	strain=ATCC 29413	na	latest	Complete Genome	Major	Full	2005-09-15	ASM20407v1	DOE Joint Genome Institute	GCA_000204075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/075/GCF_000204075.1_ASM20407v1	na	na	na	haploid	bacteria	7105752	7105752	41.500000	5	5	5	NCBI RefSeq	GCF_000204075.1-RS_2025_01_23	2025-01-23	5993	5846	63	na
GCF_000270265.1	PRJNA224116	SAMD00060991	na	na	1148	1148	Synechocystis sp. PCC 6803	strain=GT-S	na	latest	Complete Genome	Major	Full	2011-07-01	ASM27026v1	Graduate School of Arts and Sciences, University of Tokyo	GCA_000270265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/265/GCF_000270265.1_ASM27026v1	na	na	na	haploid	bacteria	3571103	3571103	47.500000	1	1	1	NCBI RefSeq	GCF_000270265.1-RS_2024_08_13	2024-08-13	3348	3245	51	8905231;21803841
GCF_000284135.1	PRJNA224116	SAMD00061000	na	na	1080228	1148	Synechocystis sp. PCC 6803 substr. GT-I	strain=PCC 6803 substr. GT-I	na	latest	Complete Genome	Major	Full	2011-12-01	ASM28413v1	University of Tokyo , Department of Agriculture,	GCA_000284135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/135/GCF_000284135.1_ASM28413v1	na	na	na	haploid	bacteria	3570004	3570004	47.500000	1	1	1	NCBI RefSeq	GCF_000284135.1-RS_2024_08_13	2024-08-13	3349	3245	51	22193367
GCF_000284215.1	PRJNA224116	SAMD00061001	na	na	1080229	1148	Synechocystis sp. PCC 6803 substr. PCC-N	strain=PCC 6803 substr. PCC-N	na	latest	Complete Genome	Major	Full	2011-12-01	ASM28421v1	University of Tokyo, Department of Agriculture	GCA_000284215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/215/GCF_000284215.1_ASM28421v1	na	na	na	haploid	bacteria	3570103	3570103	47.500000	1	1	1	NCBI RefSeq	GCF_000284215.1-RS_2024_08_13	2024-08-13	3350	3246	51	22193367
GCF_000284455.1	PRJNA224116	SAMD00060999	na	na	1080230	1148	Synechocystis sp. PCC 6803 substr. PCC-P	strain=PCC 6803 substr. PCC-P	na	latest	Complete Genome	Major	Full	2011-12-01	ASM28445v1	University of Tokyo,  Department of Agriculture	GCA_000284455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/455/GCF_000284455.1_ASM28445v1	na	na	na	haploid	bacteria	3570114	3570114	47.500000	1	1	1	NCBI RefSeq	GCF_000284455.1-RS_2024_08_13	2024-08-13	3347	3242	51	22193367
GCF_000312705.1	PRJNA224116	SAMN02604187	na	na	46234	46234	Anabaena sp. 90	strain=90	na	latest	Complete Genome	Major	Full	2012-11-13	ASM31270v1	University of Helsinki	GCA_000312705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/312/705/GCF_000312705.1_ASM31270v1	na	na	na	haploid	bacteria	5305675	5305675	38.000000	5	5	5	NCBI RefSeq	GCF_000312705.1-RS_2024_08_22	2024-08-22	5034	4813	63	23148582
GCF_000316515.1	PRJNA224116	SAMN02261330	na	reference genome	292564	59930	Cyanobium gracile PCC 6307	strain=PCC 6307	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31651v1	JGI	GCA_000316515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/515/GCF_000316515.1_ASM31651v1	na	assembly from type material	na	haploid	bacteria	3342364	3342364	68.500000	1	1	1	NCBI RefSeq	GCF_000316515.1-RS_2025_05_02	2025-05-02	3427	3326	54	na
GCF_000316575.1	PRJNA224116	SAMN02261328	na	na	99598	99598	Calothrix sp. PCC 7507	strain=PCC 7507	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31657v1	JGI	GCA_000316575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/575/GCF_000316575.1_ASM31657v1	na	na	na	haploid	bacteria	7023215	7023215	42.000000	1	1	1	NCBI RefSeq	GCF_000316575.1-RS_2024_08_13	2024-08-13	6133	5945	90	na
GCF_000316605.1	PRJNA224116	SAMN02232033	na	na	111781	111781	[Leptolyngbya] sp. PCC 7376	strain=PCC 7376	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31660v1	DOE Joint Genome Institute	GCA_000316605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/605/GCF_000316605.1_ASM31660v1	na	na	na	haploid	bacteria	5125950	5125950	44.000000	1	1	1	NCBI RefSeq	GCF_000316605.1-RS_2024_11_05	2024-11-05	4730	4395	57	na
GCF_000316625.1	PRJNA224116	SAMN02261332	na	na	317936	317936	Nostoc sp. PCC 7107	strain=PCC 7107	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31662v1	JGI	GCA_000316625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/625/GCF_000316625.1_ASM31662v1	na	na	na	haploid	bacteria	6329823	6329823	40.500000	1	1	1	NCBI RefSeq	GCF_000316625.1-RS_2024_07_22	2024-07-22	5531	5326	95	na
GCF_000316645.1	PRJNA224116	SAMN02261333	na	na	28072	28072	Nostoc sp. PCC 7524	strain=PCC 7524	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31664v1	JGI	GCA_000316645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/645/GCF_000316645.1_ASM31664v1	na	na	na	haploid	bacteria	6718869	6718869	41.500000	3	3	3	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-24	5659	5478	87	na
GCF_000316665.1	PRJNA224116	SAMN02232049	na	na	373994	373994	Rivularia sp. PCC 7116	strain=PCC 7116	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31666v1	DOE Joint Genome Institute	GCA_000316665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/665/GCF_000316665.1_ASM31666v1	na	na	na	haploid	bacteria	8728773	8728773	37.500000	3	3	3	NCBI RefSeq	GCF_000316665.1-RS_2024_08_22	2024-08-22	6789	6620	68	na
GCF_000316685.1	PRJNA224116	SAMN02261337	na	na	195253	195253	Synechococcus sp. PCC 6312	strain=PCC 6312	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31668v1	JGI	GCA_000316685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/685/GCF_000316685.1_ASM31668v1	na	na	na	haploid	bacteria	3720499	3720499	48.500000	2	2	2	NCBI RefSeq	GCF_000316685.1-RS_2024_08_22	2024-08-22	3724	3624	48	na
GCF_000317025.1	PRJNA224116	SAMN02261346	na	na	118163	118163	Pleurocapsa sp. PCC 7327	strain=PCC 7327	na	latest	Complete Genome	Major	Full	2012-12-05	ASM31702v1	JGI	GCA_000317025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/025/GCF_000317025.1_ASM31702v1	na	na	na	haploid	bacteria	4986817	4986817	45.000000	1	1	1	NCBI RefSeq	GCF_000317025.1-RS_2024_08_22	2024-08-22	4614	4367	55	na
